iter	Passed	Remaining
0	144	144222
1	145	72502
2	146	48528
3	146	36577
4	147	29380
5	148	24609
6	149	21188
7	150	18616
8	150	16605
9	151	15008
10	152	13707
11	153	12615
12	154	11696
13	154	10897
14	155	10217
15	156	9619
16	157	9091
17	157	8618
18	158	8194
19	159	7814
20	160	7468
21	161	7163
22	161	6877
23	162	6618
24	163	6379
25	164	6157
26	164	5945
27	165	5757
28	166	5577
29	167	5408
30	168	5251
31	168	5105
32	169	4965
33	170	4834
34	171	4715
35	171	4603
36	172	4491
37	173	4391
38	174	4290
39	174	4197
40	175	4107
41	176	4025
42	177	3943
43	177	3862
44	178	3790
45	179	3716
46	179	3646
47	180	3579
48	181	3517
49	181	3455
50	182	3399
51	183	3343
52	184	3289
53	184	3237
54	185	3188
55	186	3141
56	187	3096
57	187	3052
58	188	3009
59	189	2967
60	190	2927
61	190	2889
62	191	2851
63	192	2816
64	193	2780
65	193	2745
66	194	2709
67	195	2676
68	195	2644
69	196	2609
70	197	2579
71	197	2550
72	198	2522
73	199	2495
74	200	2468
75	200	2442
76	201	2415
77	202	2390
78	202	2365
79	203	2340
80	204	2317
81	204	2294
82	205	2272
83	206	2250
84	207	2229
85	207	2209
86	208	2188
87	209	2168
88	209	2147
89	210	2128
90	211	2109
91	211	2090
92	212	2071
93	213	2054
94	213	2036
95	214	2020
96	215	2002
97	215	1983
98	216	1967
99	216	1952
100	217	1936
101	218	1920
102	218	1905
103	219	1891
104	219	1874
105	220	1859
106	221	1845
107	221	1832
108	222	1818
109	223	1805
110	223	1792
111	224	1778
112	224	1766
113	225	1753
114	226	1741
115	226	1728
116	227	1717
117	228	1705
118	228	1694
119	229	1684
120	230	1673
121	230	1662
122	231	1651
123	232	1640
124	232	1629
125	233	1619
126	234	1610
127	234	1600
128	235	1590
129	236	1580
130	236	1570
131	237	1560
132	237	1550
133	238	1542
134	239	1533
135	239	1524
136	240	1514
137	241	1506
138	241	1498
139	242	1489
140	243	1481
141	243	1472
142	244	1464
143	244	1455
144	245	1447
145	246	1439
146	246	1431
147	247	1423
148	247	1415
149	248	1408
150	249	1400
151	249	1393
152	250	1385
153	251	1378
154	251	1371
155	252	1364
156	252	1357
157	253	1350
158	254	1344
159	254	1337
160	255	1330
161	256	1325
162	256	1318
163	257	1312
164	258	1306
165	258	1300
166	259	1294
167	260	1287
168	260	1281
169	261	1276
170	261	1270
171	262	1264
172	262	1257
173	263	1251
174	264	1245
175	264	1240
176	265	1234
177	266	1229
178	266	1223
179	267	1218
180	268	1212
181	268	1207
182	269	1203
183	270	1198
184	270	1193
185	271	1188
186	272	1183
187	272	1178
188	273	1173
189	274	1169
190	275	1164
191	275	1160
192	276	1158
193	277	1152
194	278	1148
195	278	1142
196	279	1137
197	279	1133
198	280	1128
199	281	1124
200	281	1119
201	282	1115
202	282	1110
203	283	1106
204	284	1103
205	285	1099
206	285	1095
207	286	1091
208	287	1086
209	287	1082
210	288	1078
211	289	1074
212	289	1070
213	290	1066
214	290	1062
215	291	1058
216	292	1054
217	292	1050
218	293	1045
219	293	1042
220	294	1038
221	295	1034
222	295	1031
223	296	1027
224	297	1023
225	297	1020
226	298	1016
227	299	1012
228	299	1008
229	300	1005
230	300	1001
231	301	998
232	302	995
233	302	991
234	303	988
235	304	984
236	304	981
237	305	978
238	306	975
239	306	971
240	307	968
241	308	965
242	308	961
243	309	958
244	310	955
245	310	952
246	311	949
247	311	945
248	312	942
249	313	939
250	313	936
251	314	933
252	315	930
253	315	927
254	316	924
255	316	920
256	317	917
257	318	914
258	318	911
259	319	908
260	319	905
261	320	903
262	321	901
263	322	898
264	323	895
265	323	893
266	324	890
267	325	887
268	325	885
269	326	882
270	327	880
271	327	877
272	328	875
273	329	872
274	329	869
275	330	866
276	331	864
277	331	861
278	332	858
279	333	856
280	333	853
281	334	851
282	334	848
283	335	845
284	336	843
285	336	840
286	337	838
287	338	835
288	338	833
289	339	830
290	339	828
291	340	825
292	341	823
293	341	820
294	342	818
295	343	815
296	343	813
297	344	811
298	344	808
299	345	806
300	346	804
301	346	801
302	347	799
303	348	797
304	349	795
305	350	793
306	350	791
307	351	789
308	352	788
309	353	786
310	354	784
311	354	781
312	355	779
313	355	777
314	356	775
315	357	773
316	358	771
317	358	769
318	359	766
319	359	764
320	360	762
321	361	760
322	361	758
323	362	756
324	363	754
325	363	752
326	364	750
327	365	749
328	366	747
329	367	746
330	368	743
331	368	742
332	369	740
333	370	738
334	372	739
335	372	737
336	373	735
337	374	733
338	374	731
339	375	729
340	376	727
341	377	725
342	378	724
343	378	722
344	379	720
345	380	718
346	380	716
347	381	715
348	385	719
349	386	717
350	387	716
351	388	715
352	389	713
353	390	712
354	392	712
355	393	711
356	394	709
357	394	708
358	395	706
359	397	706
360	398	704
361	398	703
362	399	701
363	400	699
364	401	698
365	402	696
366	403	695
367	403	693
368	404	692
369	406	691
370	407	690
371	407	688
372	408	687
373	409	685
374	410	683
375	411	682
376	411	680
377	412	679
378	413	677
379	414	675
380	414	674
381	415	672
382	416	670
383	417	668
384	417	667
385	418	665
386	419	664
387	419	662
388	420	660
389	421	659
390	422	657
391	422	655
392	423	654
393	424	652
394	424	650
395	425	649
396	426	647
397	427	645
398	427	644
399	428	642
400	429	641
401	429	639
402	430	638
403	431	636
404	432	634
405	432	633
406	433	631
407	433	629
408	434	628
409	435	626
410	436	624
411	436	623
412	437	621
413	437	619
414	438	618
415	439	616
416	440	615
417	440	613
418	441	612
419	442	610
420	442	608
421	443	607
422	444	605
423	444	604
424	445	602
425	446	601
426	446	599
427	447	598
428	448	596
429	448	595
430	449	593
431	450	592
432	451	591
433	452	589
434	452	588
435	453	586
436	454	585
437	454	583
438	455	581
439	456	580
440	456	578
441	457	577
442	458	576
443	458	574
444	459	573
445	460	571
446	460	570
447	461	568
448	462	567
449	463	565
450	463	564
451	464	563
452	465	561
453	465	560
454	466	558
455	467	557
456	467	555
457	468	554
458	469	553
459	470	551
460	470	550
461	471	549
462	472	547
463	472	546
464	473	544
465	474	543
466	474	541
467	475	540
468	476	539
469	477	538
470	478	536
471	478	535
472	479	534
473	480	533
474	481	531
475	481	530
476	482	529
477	483	527
478	483	526
479	484	525
480	485	523
481	486	522
482	486	520
483	487	519
484	488	518
485	488	516
486	489	515
487	490	514
488	490	512
489	491	511
490	492	510
491	492	508
492	493	507
493	494	506
494	495	505
495	495	503
496	496	502
497	497	501
498	497	499
499	498	498
500	499	497
501	499	495
502	500	494
503	501	493
504	502	492
505	502	490
506	503	489
507	504	488
508	504	486
509	505	485
510	506	484
511	506	483
512	507	481
513	508	480
514	509	479
515	509	478
516	510	476
517	510	475
518	511	474
519	512	472
520	512	471
521	513	470
522	513	468
523	514	467
524	515	466
525	516	465
526	516	463
527	517	462
528	518	461
529	519	460
530	519	459
531	520	457
532	521	456
533	521	455
534	522	454
535	523	452
536	523	451
537	524	450
538	525	449
539	525	448
540	526	446
541	527	445
542	527	444
543	528	443
544	529	441
545	530	440
546	531	439
547	531	438
548	532	437
549	533	436
550	534	435
551	534	434
552	535	432
553	536	431
554	536	430
555	537	429
556	538	428
557	539	427
558	539	425
559	540	424
560	541	423
561	541	422
562	542	421
563	543	419
564	543	418
565	544	417
566	545	416
567	545	415
568	546	414
569	547	412
570	547	411
571	548	410
572	549	409
573	549	408
574	550	406
575	551	405
576	551	404
577	552	403
578	553	402
579	553	400
580	554	399
581	555	398
582	555	397
583	556	396
584	557	395
585	557	394
586	558	392
587	559	391
588	559	390
589	560	389
590	561	388
591	561	387
592	562	386
593	563	384
594	563	383
595	564	382
596	565	381
597	565	380
598	566	379
599	567	378
600	567	376
601	568	375
602	568	374
603	569	373
604	570	372
605	570	371
606	571	370
607	572	368
608	572	367
609	573	366
610	574	365
611	574	364
612	575	363
613	576	362
614	576	361
615	577	359
616	578	358
617	578	357
618	579	356
619	579	355
620	580	354
621	581	353
622	582	352
623	582	351
624	583	350
625	584	349
626	585	348
627	586	347
628	586	346
629	587	345
630	588	344
631	589	343
632	589	342
633	590	340
634	591	339
635	592	338
636	592	337
637	593	336
638	594	335
639	595	334
640	595	333
641	596	332
642	597	331
643	598	330
644	599	329
645	599	328
646	600	327
647	601	326
648	601	325
649	602	324
650	603	323
651	603	322
652	606	322
653	606	321
654	607	320
655	608	318
656	608	317
657	609	316
658	610	315
659	611	314
660	611	313
661	612	312
662	613	311
663	613	310
664	614	309
665	615	308
666	616	307
667	616	306
668	617	305
669	618	304
670	619	303
671	620	302
672	620	301
673	621	300
674	622	299
675	622	298
676	623	297
677	624	296
678	624	295
679	625	294
680	626	293
681	626	292
682	627	291
683	628	290
684	628	289
685	629	288
686	630	287
687	630	286
688	631	285
689	632	284
690	633	283
691	633	282
692	634	281
693	635	280
694	636	279
695	636	278
696	637	277
697	638	276
698	638	275
699	639	274
700	640	273
701	640	272
702	641	271
703	642	270
704	642	269
705	643	268
706	644	267
707	644	265
708	645	264
709	646	263
710	646	262
711	647	261
712	648	260
713	648	259
714	649	258
715	650	257
716	650	256
717	651	255
718	652	254
719	652	253
720	653	252
721	654	251
722	654	250
723	655	249
724	655	248
725	656	247
726	657	246
727	657	245
728	658	244
729	659	243
730	659	242
731	660	241
732	661	240
733	661	239
734	662	238
735	663	237
736	663	236
737	664	235
738	665	234
739	665	233
740	666	232
741	667	231
742	668	231
743	668	230
744	669	229
745	670	228
746	670	227
747	671	226
748	672	225
749	672	224
750	673	223
751	674	222
752	674	221
753	675	220
754	676	219
755	676	218
756	677	217
757	678	216
758	679	215
759	679	214
760	680	213
761	681	212
762	682	211
763	683	211
764	683	210
765	684	209
766	684	208
767	685	207
768	686	206
769	686	205
770	687	204
771	687	203
772	688	202
773	689	201
774	689	200
775	690	199
776	691	198
777	691	197
778	692	196
779	693	195
780	693	194
781	694	193
782	695	192
783	695	191
784	696	190
785	696	189
786	697	188
787	698	187
788	698	186
789	699	185
790	699	184
791	700	183
792	700	182
793	701	182
794	702	181
795	702	180
796	703	179
797	703	178
798	704	177
799	704	176
800	705	175
801	706	174
802	706	173
803	707	172
804	708	171
805	708	170
806	709	169
807	709	168
808	710	167
809	711	166
810	711	165
811	712	164
812	712	163
813	713	163
814	714	162
815	714	161
816	715	160
817	716	159
818	716	158
819	717	157
820	718	156
821	718	155
822	719	154
823	720	153
824	720	152
825	721	151
826	721	151
827	722	150
828	723	149
829	723	148
830	724	147
831	724	146
832	725	145
833	726	144
834	726	143
835	727	142
836	727	141
837	728	140
838	729	139
839	729	139
840	730	138
841	731	137
842	731	136
843	732	135
844	732	134
845	733	133
846	734	132
847	734	131
848	735	130
849	736	129
850	736	129
851	737	128
852	738	127
853	738	126
854	739	125
855	740	124
856	740	123
857	741	122
858	741	121
859	742	120
860	743	119
861	743	119
862	744	118
863	744	117
864	745	116
865	746	115
866	746	114
867	747	113
868	748	112
869	748	111
870	749	110
871	750	110
872	750	109
873	751	108
874	751	107
875	752	106
876	753	105
877	753	104
878	754	103
879	754	102
880	755	102
881	755	101
882	756	100
883	757	99
884	757	98
885	758	97
886	759	96
887	759	95
888	760	94
889	760	94
890	761	93
891	761	92
892	762	91
893	763	90
894	764	89
895	764	88
896	765	87
897	766	87
898	767	86
899	767	85
900	768	84
901	768	83
902	769	82
903	770	81
904	770	80
905	771	80
906	772	79
907	772	78
908	773	77
909	774	76
910	774	75
911	775	74
912	775	73
913	776	73
914	777	72
915	777	71
916	778	70
917	778	69
918	779	68
919	779	67
920	780	66
921	781	66
922	781	65
923	782	64
924	782	63
925	783	62
926	784	61
927	785	60
928	786	60
929	786	59
930	787	58
931	788	57
932	789	56
933	789	55
934	790	54
935	791	54
936	791	53
937	792	52
938	793	51
939	793	50
940	794	49
941	794	48
942	795	48
943	796	47
944	796	46
945	797	45
946	798	44
947	798	43
948	799	42
949	800	42
950	801	41
951	801	40
952	802	39
953	803	38
954	803	37
955	804	37
956	804	36
957	805	35
958	806	34
959	806	33
960	807	32
961	808	31
962	808	31
963	809	30
964	810	29
965	810	28
966	811	27
967	812	26
968	813	26
969	813	25
970	814	24
971	815	23
972	815	22
973	816	21
974	817	20
975	817	20
976	818	19
977	819	18
978	819	17
979	820	16
980	821	15
981	821	15
982	822	14
983	823	13
984	824	12
985	824	11
986	825	10
987	826	10
988	826	9
989	827	8
990	828	7
991	828	6
992	829	5
993	830	5
994	831	4
995	831	3
996	832	2
997	833	1
998	833	0
999	834	0
